species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm,elev
obscura,96-5685,spiral_to_distichous,pendent,yellow,musa,3.583333333333334,32.166666666666664,9.5,4.666666666666667,3.5833333333333335,21.666666666666668,131,1162.3636363636363
sclerotricha,89-2915,spiral,pendent,orange_yellow_white,canna,3.1333333333333333,35.666666666666664,11,4.666666666666667,2.8333333333333335,17.666666666666668,143.33333333333334,976.6666666666666
pendula,91-3200,spiral_to_distichous,pendent,white,musa,4.37,40.9,7.8,6,3.025,23,88.2,340.4864864864865
monteverdensis,90-2979,spiral,erect,yellow_green,musa,2.4,17,9,5,1.25,21,53,1322.909090909091
episcopalis,96-5690D,distichous,erect,orange_yellow_white,musa,2.42,8.690000000000001,10.8,3,2.67,15.1,59.8,282.9153846153846
venusta,90-3108,distichous,erect,yellow_green,canna,3.6999999999999997,15.333333333333334,5.083333333333333,4.833333333333333,2.2083333333333335,7.916666666666667,41.166666666666664,1700.9333333333334
aurea,91-3191,distichous,erect,white_green,musa,4.819999999999999,38.4,6.8,5.4,3.7,28.2,176,317.6666666666667
marginata,96-5710,spiral,pendent,yellow,musa,2.746666666666667,16.933333333333334,6.133333333333334,5.266666666666667,2.7,11.033333333333333,47.46666666666667,245.0909090909091
oleosa,91-3379,spiral,pendent,yellow,musa,2.966666666666667,33,8,3,2.9166666666666665,13,125,1264.25
julianii,91-3360,distichous,erect,NA,NA,NA,NA,NA,NA,1.875,NA,NA,736
lozanoi,91-3373,spiral_to_distichous,pendent,yellow,musa,1.6666666666666667,16.666666666666668,5,3.3333333333333335,3.5,10.666666666666666,60,1423.5
beckneri,92-3482,spiral,erect,green,musa,5.63,30.15,8.3,6.4,2.8,26.439999999999998,101.7,1187.8
umbrophila,79-1099,distichous,erect,yellow,musa,2.5,5,2,3.5,2,8.5,44.5,266.54545454545456
mincana,92-3552,spiral,erect,yellow_green,musa,4.166666666666667,22.333333333333332,4.666666666666667,3.6666666666666665,2.3333333333333335,21.666666666666668,91.66666666666667,1011
meridensis,91-3212,spiral,erect,yellow_green,musa_canna,2.6999999999999997,21.666666666666668,5.333333333333333,3.6666666666666665,2.8333333333333335,24.333333333333332,88.33333333333333,1030.2
gaiboriana,89-2941,spiral,erect,white_green,musa,3.8333333333333335,16.666666666666668,4.333333333333333,4,1.75,19.666666666666668,57.666666666666664,1310.4
reptans,91-3380,distichous,pendent,orange_yellow_white,musa,3.0666666666666664,38.166666666666664,14.333333333333334,3.6666666666666665,1.6666666666666667,9.333333333333334,41.666666666666664,1198.6666666666667
dielsiana,96-5671,distichous,pendent,yellow,musa,4.8,57.714285714285715,16.714285714285715,6.857142857142857,2.642857142857143,23.285714285714285,116.42857142857143,1487.7
laxa,95-5442,spiral,pendent,yellow,musa,1.7333333333333334,17.666666666666668,5.666666666666667,2.6666666666666665,2.8333333333333335,16.666666666666668,96.33333333333333,580
paka,83-1480,spiral,erect,yellow_green,musa,4.55,38.333333333333336,11.333333333333334,11.166666666666666,4.5,37.333333333333336,136.5,434.8
sylvestris,96-5589,distichous,erect,yellow_green,canna,3.0666666666666664,10.333333333333334,3.1666666666666665,3,2,3.533333333333333,27.333333333333332,297.3333333333333
tarumaensis,91-3226,distichous,erect,yellow,NA,NA,NA,NA,NA,1.8166666666666667,NA,NA,883.5
plowmaniana,97-5828,spiral_to_distichous,pendent,NA,canna,NA,NA,NA,NA,2,NA,NA,NA
robusta,121,NA,pendent,NA,musa,4.4,40,13,4,3.5,29,142.5,669.7777777777778
latispatha,95-5432,spiral,erect,yellow_green,musa,4.089655172413793,34.827586206896555,9.96551724137931,7.275862068965517,3.7482758620689656,23.71379310344828,95.03448275862068,430.07085020242914
atropurpurea,97-5796,distichous,erect,white_green,musa,22.066666666666666,17.333333333333332,7.666666666666667,8.333333333333334,2.15,30.333333333333332,93,794.1052631578947
lophocarpa,83-1588B,distichous,erect,white_green,musa,3.55,25.5,15,5.5,3,36,152.5,795.4
lentiginosa,89-2648,distichous,pendent,orange_yellow_white,musa,4.8999999999999995,95,20.333333333333332,4.333333333333333,2.1666666666666665,26.833333333333332,152.33333333333334,494.2
dasyantha,86-2110,distichous,erect,yellow,musa,4,15,6,3,3,16,90,365.5
bella,88-1597,distichous,erect,NA,musa,NA,36,15,NA,1.5,33,75,966
paludigena,88-2265,spiral_to_distichous,pendent,yellow,musa,5,135,22,8,7.5,50,270,756.3333333333334
virginalis,89-2945,distichous,erect,white_green,musa,1.1666666666666667,21,5.666666666666667,2,2.6666666666666665,20.5,47,1210
pastazae,96-5731,spiral,pendent,yellow,musa,3.5666666666666664,69,11.5,6,5.416666666666667,31.166666666666668,111.33333333333333,1143
robertoi,89-2613,spiral,pendent,yellow_green,musa,7,30,6,7,2,24,100,1428
badilloi,90-3167,distichous,pendent,orange_yellow_white,musa,2.1,16.5,4.5,3,2.5,12.5,70,650.5
brenneri,89-2857,distichous,erect,white_green,musa,7,45,11,1.4,5,42,135,1376
riopalenquensis,89-2904B,spiral,pendent,yellow,canna,4.4,50,19,4.5,4.25,32.5,118.625,567.5
huilensis,90-3107,spiral,pendent,yellow,musa,6,80,18.5,7.5,4.5,43.5,272.5,1098
caquetensis,90-3113,spiral,pendent,yellow,musa,7.5,36,7,10,2,28,107,660.3333333333334
abaloi,90-3125,distichous,pendent,yellow,musa,4.7,40,13,7,4.5,37,80,1390
arrecta,90-3157,spiral_to_distichous,pendent,yellow,musa,5.5,29,11,8,2.125,20,86,243
villosa,91-3207,spiral_to_distichous,pendent,NA,musa,3.25,28.5,15.5,3,3.75,32,142.5,1231.6666666666667
estiletioides,93-3588,spiral_to_distichous,pendent,yellow,musa,NA,95,17.5,NA,3,46,210,109
