ID,species,Lat_y,Long_x
9619,acuminata,6.357,-64.872
9623,acuminata,6.12,-63.75
9624,acuminata,6.23,-63.45
9629,acuminata,6.35,-62.97
9632,acuminata,6.08,-62
9636,acuminata,6.33,-61.5
9638,acuminata,6.08,-60.38
9646,acuminata,6.7833,-58.15
9647,acuminata,6.57,-58.33
9812,acuminata,7.15,-64.4
10955,acuminata,8.33,-59.67
17006,acuminata,7.25,-58.5666667
17026,acuminata,5.1666667,-59.4833333
17697,acuminata,5.5833333,-58.3333333
17918,acuminata,7.6333333,-60.0666667
17923,acuminata,7.6166667,-59.8833333
17924,acuminata,3.6166667,-53.2833333
17980,acuminata,5.3333333,-57.6333333
18111,acuminata,3.55,-53.9166667
18151,acuminata,3.9666667,-51.8666667
18157,acuminata,4.5833333,-53.35
19319,acuminata,5.172908,-59.478156
22033,acuminata,2.785556,-65.2
22034,acuminata,2.785556,-65.2
22228,acuminata,2.373611,-59.968056
22229,acuminata,2.357222,-59.96
22230,acuminata,2.448889,-59.77
22235,acuminata,5.541667,-55.191667
22300,acuminata,3.12,-59.1
22365,acuminata,4.85,-53.07
22412,acuminata,2.338889,-60.103056
22413,acuminata,2.338333,-60.108056
22414,acuminata,2.3375,-60.116667
22563,acuminata,-17.38,-64.5
22566,acuminata,-12.47,-64.22
22645,acuminata,-2.4417,-59.7858
22646,acuminata,-2.4417,-59.7858
22647,acuminata,-2.4417,-59.7858
23168,acuminata,-2.4417,-59.7858
23497,acuminata,-3.10194,-60.025
23669,acuminata,-7.14778,-55.3811
23821,acuminata,-10.253611,-48.095833
23822,acuminata,-14.666667,-52.35
23823,acuminata,-15.228611,-57.681389
23848,acuminata,-22.77,-47.29
23899,acuminata,-3.76611,-49.6725
23962,acuminata,-2.449722,-59.769722
23965,acuminata,-2.913333,-59.979444
23995,acuminata,-3.35417,-64.7114
24042,acuminata,-1.50583,-48.6258
24072,acuminata,-0.966667,-49.933333
24098,acuminata,-3.49,-45.25
24116,acuminata,-0.130278,-67.0892
24155,acuminata,-16.6786,-49.2539
24163,acuminata,-20.464611,-55.487528
24239,acuminata,-4.26333,-38.9331
24267,acuminata,-8.9411,-72.7917
24305,acuminata,-3.49167,-45.2511
24358,acuminata,-2.44972,-59.76972
24363,acuminata,,
24364,acuminata,,
24365,acuminata,,
24366,acuminata,,
24368,acuminata,,
13986,adflexa,15.997,-93.476
13993,adflexa,15.083,-92.083
13997,adflexa,15.085,-92.069
14094,adflexa,16.756,-95.499
14119,adflexa,16.034,-93.396
14122,adflexa,16.113,-93.458
14311,adflexa,17.8,-96.117
14324,adflexa,17.3,-94.633
14437,adflexa,17.05,-91.15
14521,adflexa,18.95,-96.76667
14805,adflexa,19.133,-97.067
14807,adflexa,19.465279,-97.125
14810,adflexa,19.475,-97.017
14814,adflexa,19.783333,-97.25
14818,adflexa,19.4,-97.017
14822,adflexa,19.42,-97.008
14823,adflexa,19.45,-97.067
14824,adflexa,19.75,-97.11667
14915,adflexa,19.5125,-96.94334
14916,adflexa,19.483334,-96.933334
14955,adflexa,19.533333,-96.816666
14970,adflexa,19.116667,-96.98333
14983,adflexa,19.522223,-96.98055
15002,adflexa,19.512,-96.943
15007,adflexa,19.402,-96.997
15010,adflexa,19.534,-96.983
16656,adflexa,15.432052,-89.750077
16856,adflexa,18.849722,-97.103615
17076,adflexa,17.153787,-92.900796
17955,adflexa,17.2094444,-92.9777778
22246,adflexa,17.25,-93
22371,adflexa,15.515839,-92.225972
22381,adflexa,16.11667,-91.66667
22382,adflexa,15.32,-90.29
22383,adflexa,15.248019,-90.174122
22384,adflexa,14.91,-91.9
3056,aemygdiana,-11.268776,-74.679478
3680,aemygdiana,-1.033181,-77.666899
5776,aemygdiana,-17.07,-65.49
5852,aemygdiana,-16.958,-39.583
5899,aemygdiana,-15.2,-39.6
6109,aemygdiana,-12.92,-71.2
6166,aemygdiana,-11.33,-74.75
6167,aemygdiana,-11.79,-72.7
6247,aemygdiana,-10.27,-75.37
6262,aemygdiana,-10.08,-75.58
6292,aemygdiana,-10.49,-75.11
6425,aemygdiana,-9.62,-55.22
6434,aemygdiana,-8.18,-76.51
6479,aemygdiana,-8.269,-72.744
6514,aemygdiana,-7.63111,-72.67
6557,aemygdiana,-5.28,-78.39
6570,aemygdiana,-5.65,-78.33
6621,aemygdiana,-4.25,-78.92
6632,aemygdiana,-4.47,-78.17
6640,aemygdiana,-4.53,-78.18
6643,aemygdiana,-4.46,-78.16
6675,aemygdiana,-4.618889,-78.22945
6679,aemygdiana,-4.619167,-78.20639
7029,aemygdiana,-2.18,-79.12
7037,aemygdiana,-2.183,-79.116
7086,aemygdiana,-2.38,-77.5
7173,aemygdiana,-1.45,-78.1
7189,aemygdiana,-1.416,-77.033
7193,aemygdiana,-1.07,-77.6
7241,aemygdiana,-1.05,-77.55
7245,aemygdiana,-1.63,-77.88
7248,aemygdiana,-1.07,-77.6
7261,aemygdiana,-1.75,-77.63
7281,aemygdiana,-1.42,-77.03
7378,aemygdiana,-0.583,-79.366
7416,aemygdiana,-0.6,-79.43
7422,aemygdiana,-0.35,-79.366
7425,aemygdiana,-0.58,-79.37
7457,aemygdiana,-0.85,-78.47
7487,aemygdiana,-0.05,-77.58
7494,aemygdiana,-0.85,-77.22
7506,aemygdiana,-0.13,-77.45
7526,aemygdiana,-0.72,-77.67
7534,aemygdiana,-0.7,-77.17
7537,aemygdiana,-0.4,-77.17
7544,aemygdiana,-0.7,-77.33
7552,aemygdiana,-0.38,-76.67
7558,aemygdiana,-0.516,-76.383
7564,aemygdiana,-0.42,-76.62
7572,aemygdiana,-0.4,-77
7584,aemygdiana,-0.43,-76.88
7598,aemygdiana,-0.283,-76.433
7599,aemygdiana,-0.116,-76.516
7600,aemygdiana,-0.12,-76.52
7603,aemygdiana,-0.32,-76.67
7607,aemygdiana,-0.52,-76.38
7608,aemygdiana,-0.33,-76.67
7624,aemygdiana,-0.03,-76.7
7654,aemygdiana,-0.35,-76.55
7657,aemygdiana,-0.28,-76.43
7662,aemygdiana,-0.45,-76.88
7743,aemygdiana,0,-79.37
7825,aemygdiana,-0.87,-77.72
7830,aemygdiana,0.13,-77.45
7846,aemygdiana,0.08,-76.67
8496,aemygdiana,2.45,-54.45
15164,aemygdiana,-6.649196,-79.31143
15340,aemygdiana,-0.31667,-78.95
15378,aemygdiana,,
15506,aemygdiana,-0.749222,-77.446777
15542,aemygdiana,-1.040938,-77.666311
15560,aemygdiana,,
15835,aemygdiana,-2.217453,-78.062239
15858,aemygdiana,-3.02,-78.02
17005,aemygdiana,-0.22,-78.8
17559,aemygdiana,-0.58,-79.38
17806,aemygdiana,-1.7,-77.87
17857,aemygdiana,-3.2166667,-78.25
17922,aemygdiana,-1.028466,-77.596713
17992,aemygdiana,-0.6,-77.38
18399,aemygdiana,-11.8825,-72.6516667
18594,aemygdiana,-0.35,-79.3666667
19001,aemygdiana,-3.680702,-79.731048
19285,aemygdiana,-15.75,-67.48
19304,aemygdiana,-3.22,-78.4
19717,aemygdiana,-0.63,-79.27
19718,aemygdiana,-0.58,-79.37
19720,aemygdiana,-0.95,-78.97
19735,aemygdiana,4.82,-76.13
21930,aemygdiana,,
21952,aemygdiana,0.475561,-78.121301
22158,aemygdiana,1.034167,-76.949722
22221,aemygdiana,-5.9,-77.35
22223,aemygdiana,-5.8,-77.35
22410,aemygdiana,0.799722,-76.419444
22527,aemygdiana,-14.66,-67.811667
22565,aemygdiana,-17,-65.43
23689,aemygdiana,-14.7889,-39.0494
23749,aemygdiana,-15.158056,-39.528611
23841,aemygdiana,-15.825056,-40.521056
23853,aemygdiana,-14.7053,-39.6372
23942,aemygdiana,-14.6408,-39.5511
23993,aemygdiana,-17.0392,-39.5311
24050,aemygdiana,-19.7122,-42.7322
24102,aemygdiana,-19.7897,-42.1392
24181,aemygdiana,-14.683333,-39.116667
24371,aemygdiana,,
22609,albicosta,10.291542,-84.547642
22009,angusta,,
23540,angusta,-14.735,-39.696111
23563,angusta,-19.7122,-42.7322
23581,angusta,-21.98,-48.8
23589,angusta,-8.28667,-35.035
23627,angusta,-22.7086,-42.6097
23653,angusta,-20.1006,-40.5297
23737,angusta,-19.7897,-42.1392
23741,angusta,-20.3683,-41.2439
23755,angusta,-14.7889,-39.0494
23768,angusta,-21.9811,-42.3681
23951,angusta,-22.9028,-43.2075
24034,angusta,-19.0175,-40.5356
24056,angusta,-13.4869,-39.0439
24148,angusta,-14.2775,-38.9967
24168,angusta,-21.4597,-42.9675
24175,angusta,-21.1211,-56.4819
24179,angusta,-12.253056,-39.475278
24219,angusta,-22.5372,-42.9819
24231,angusta,-20.3633,-40.6592
24247,angusta,-20.708056,-49.316389
24256,angusta,-23.43,-45.07
24318,angusta,-15.78,-47.93
24336,angusta,-25.4286,-48.7119
24372,angusta,,
1332,apparicioi,-10.075533,-67.755901
3641,apparicioi,-7.661483,-72.877891
6106,apparicioi,-12.58,-71.25
6230,apparicioi,-10.3,-75.25
6389,apparicioi,-9.3,-69
6391,apparicioi,-9.2,-68.7
6909,apparicioi,-3.33,-72.92
6980,apparicioi,-3.08,-71.92
18467,apparicioi,-10.003439,-74.98552
24374,apparicioi,,
16779,aristeguietae,4.143511,-73.677256
24373,aristeguietae,,
24385,aristeguietae,,
8590,arrecta,3.89778,-76.9606
16137,arrecta,,
16142,arrecta,3.8977778,-76.9605556
23227,arrecta,3.897778,-76.960556
1293,atratensis,5.645848,-76.637541
8767,atratensis,4.38639,-77.1975
9123,atratensis,5.56139,-76.7575
9129,atratensis,5.54,-76.63
18653,atratensis,4.15,-77.1833333
18839,atratensis,5.528371,-76.629605
19743,atratensis,5.5,-76.62
24386,atratensis,5.547507,-76.633899
24387,atratensis,4.190332,-77.237946
574,atropurpurea,8.742925,-82.25793
10248,atropurpurea,8.75,-82.22
10347,atropurpurea,8.77,-82.2
10522,atropurpurea,8.52,-81.13
11624,atropurpurea,9.79699,-83.16212
12504,atropurpurea,10.31,-84.71
12691,atropurpurea,10.28,-84.04
12705,atropurpurea,10.06667,-84.00833
12736,atropurpurea,10.31667,-84.71667
19018,atropurpurea,,
19322,atropurpurea,8.73,-82.23
19323,atropurpurea,8.668056,-80.5925
19324,atropurpurea,8.769083,-82.199331
19837,atropurpurea,8.75,-82.2
19988,atropurpurea,9.78,-83.68
20646,atropurpurea,,
21086,atropurpurea,,
21958,atropurpurea,10.150222,-83.933389
22613,atropurpurea,10.066694,-83.983333
22666,atropurpurea,10.158961,-83.963611
24391,atropurpurea,,
725,aurantiaca,14.773131,-89.530946
11268,aurantiaca,9.6,-83.19
11321,aurantiaca,9.9,-83.65
11466,aurantiaca,9.44722,-83.041664
11531,aurantiaca,9.41944,-83.05
11592,aurantiaca,9.44,-83.04
11658,aurantiaca,9.40833,-82.969444
11694,aurantiaca,9.4,-82.96
12325,aurantiaca,10.43,-85.1
12329,aurantiaca,10.8,-85.03
12411,aurantiaca,10.71,-85.34
12419,aurantiaca,10.77722,-85.26444
12446,aurantiaca,10.68349,-85.086525
12454,aurantiaca,10.88291,-85.40165
12455,aurantiaca,10.67,-85.06
12459,aurantiaca,10.96667,-85.333336
12674,aurantiaca,10.4,-84.86667
12685,aurantiaca,10.4,-84.87
12785,aurantiaca,10.97,-84.33
12808,aurantiaca,10.53694,-84.92139
12818,aurantiaca,10.7,-84.25
12822,aurantiaca,10.62778,-84.995834
13252,aurantiaca,11.45,-85.48
13284,aurantiaca,11.07,-84.37
13328,aurantiaca,11.13,-84.35
13438,aurantiaca,12.97,-85.22
13474,aurantiaca,12.98,-85.23
13484,aurantiaca,12.17,-84.32
13548,aurantiaca,13.03,-85.25
13567,aurantiaca,13,-85.25
13573,aurantiaca,13.73,-85.02
13584,aurantiaca,13.98,-85.32
13623,aurantiaca,13.55,-85.73
13665,aurantiaca,13.55,-85.77
13759,aurantiaca,13.74,-84.96
13851,aurantiaca,14.23,-85.32
13854,aurantiaca,14.37,-85.05
13876,aurantiaca,14.32,-85.12
13880,aurantiaca,14.37,-85.06
13885,aurantiaca,14.41,-85.18
13903,aurantiaca,14.77,-84.75
13939,aurantiaca,14.1,-84.52
13955,aurantiaca,14.43,-83.78
14017,aurantiaca,15.3,-89.7
14026,aurantiaca,15.54,-88.72
14033,aurantiaca,15.68,-88.68
14034,aurantiaca,15.52,-88.81
14038,aurantiaca,15.69,-88.6
14048,aurantiaca,15.72,-87.46
14135,aurantiaca,16.817,-91.317
14136,aurantiaca,16.75,-91.133
14139,aurantiaca,16.981,-91.25
14142,aurantiaca,16.714,-91.122
14143,aurantiaca,16.7,-91.05
14145,aurantiaca,16.797,-91.599
14167,aurantiaca,16.982,-91.254
14169,aurantiaca,16.76,-91.13
14171,aurantiaca,16.89,-90.96
14174,aurantiaca,16.12,-90.93
14177,aurantiaca,16.03,-90.08
14181,aurantiaca,16.3,-89.03
14186,aurantiaca,16.83,-89.02
14195,aurantiaca,16.38,-89.15
14207,aurantiaca,16.85,-89.05
14210,aurantiaca,16.38,-89.12
14213,aurantiaca,16.628,-89.019
14217,aurantiaca,16.62,-89
14218,aurantiaca,16.52,-88.85
14221,aurantiaca,16.83,-88.62
14227,aurantiaca,16.73,-88.97
14229,aurantiaca,16.17,-88.93
