BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
4043135,,V,0,,,D.K. Harder,3435,et al.,"K,MO",14,7,1995,14 July 1995,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,Western Region,,,0,,0,0,0,0,No,No,5.266667,N,-2.766667,W,DM,,,,,5.266667,-2.766667,NW52,80,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,79,0
4043161,,V,0,,,F.N. Hepper,8120,J. Maley,K,7,2,1984,7 February 1984,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Guiglo,,,0,,0,0,0,0,No,No,5.816667,N,-7.383333,W,DM,4,FUZZY,,,5.816667,-7.383333,NW57,160,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043205,,V,0,,,J. Jangoux,255,,BR,4,8,1962,4 August 1962,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Guiglo,,,0,,0,0,0,0,No,No,6.116667,N,-7.483333,W,DM,,,,,6.116667,-7.483333,NW67,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043452,,V,0,,,R. Maire,s.n.,,P,24,7,1944,24 July 1944,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,Banco Forest Reserve,0,,0,0,0,0,No,No,5.416667,N,-4.05,W,DM,,,,,5.416667,-4.05,NW54,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043541,,V,0,,,J.K. Morton,9675,,K,8,12,1953,8 December 1953,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,Ashanti Region,,,0,,0,0,0,0,No,No,7.066667,N,-1.383333,W,DM,,,,,7.066667,-1.383333,NW71,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,79,0
4043599,,V,1,,,L.P.G.A. Nusbaumer,693,"Kouam, D",G,2,9,2001,2 September 2001,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Man,,,0,,0,0,0,0,No,No,6.833333,N,-7.7,W,DM,4,BRAHMS,,,6.833333,-7.7,NW67,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043660,,V,0,,,R. Portres,1351,,P,0,0,0,,,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,Bingerville,0,,0,0,0,0,No,No,5.35,N,-3.883333,W,DM,4,map,,,5.35,-3.883333,NW53,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043661,,V,0,,,R. Portres,2187,,P,2,8,1937,2 August 1937,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,Bingerville,0,,0,0,0,0,No,No,5.35,N,-3.883333,W,DM,4,map,,,5.35,-3.883333,NW53,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043662,,V,0,,,R. Portres,s.n.,,P,22,5,1949,22 May 1949,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ivory Coast,Abidjan,,Bingerville,0,,0,0,0,0,No,No,5.366667,N,-3.85,W,DM,4,GOOGL,,,5.366667,-3.85,NW53,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,235,0
4043844,,V,0,,,A. Sourakov,s.n.,,MO,17,8,1996,17 August 1996,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,Western Region,,Ankasa National Park,0,,0,0,0,0,No,No,5.2,N,-2.65,W,DM,,,,,5.2,-2.65,NW52,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,79,0
4472561,,V,1,,,C.C.H. Jongkind,12849,G. Sambolah,BR,29,1,2016,29 January 2016,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus aureus Maas & H.Maas,C.C.H. Jongkind,0,1,2016,,,Africa,West Tropical Africa,Liberia,Sino,,,0,,0,0,0,2,No,No,5.357833,N,-8.810833,W,,7,GPS,,,5.357833,-8.810833,NW58,0,0,Costus,aureus,Maas & H.Maas,0,36,9766,419835,119,0
