BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
166363,,V,4,,WAG.1202158,T.R. van Andel,3932,B. Mva & B. Belle,"KRIBI,U,WAG,WAG",18,8,2001,18 August 2001,August,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Cameroon,South Province,,"Campo-Ma'an area, Akom II",0,,0,0,0,0,No,No,2.8,N,10.533333,E,,5,,,,2.8,10.533333,NE210,445,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,46,0
167816,,V,1,,,G.M.P.C. Le Testu,6475,,P,0,3,1927,March 1927,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Ngouni,,,0,,0,0,0,0,No,No,-1.966667,S,11.916667,E,,4,,,,-1.966667,11.916667,SE111,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,9766,304598,76,0
169898,,V,1,,,G.M.P.C. Le Testu,9125,,P,0,5,1933,May 1933,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,,0,0,0,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,1.75,N,11.416667,E,,4,,,,1.75,11.416667,NE111,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,9766,304598,76,0
172204,,V,3,,,L. Ngok Banak,1132,A. Moungazi & S. Lekanga,"BRLU,LBV,WAG",23,12,2002,23 December 2002,December,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,30,3,2016,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,1.025983,N,10.894683,E,DM,7,,,,1.025983,10.894683,NE110,570,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
176841,,V,1,,,N. Hall,1373,,P,27,2,1961,27 February 1961,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Gabon,Ogoou-Ivindo,,,0,,0,0,0,0,No,No,0.416667,N,13.066667,E,,4,,,,0.416667,13.066667,NE013,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
178089,,V,1,,,N. Hall,2291,,P,6,6,1963,6 June 1963,June,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Moyen-Ogoou,,,0,,0,0,0,0,No,No,-0.083333,S,10.583333,E,,3,,,,-0.083333,10.583333,SE010,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
182351,,V,1,,,N. Hall,4866,J.F. Villiers,P,2,2,1968,2 February 1968,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Estuaire,,,0,,0,0,0,0,No,No,0.483333,N,10.166667,E,,5,,,,0.483333,10.166667,NE010,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
182455,,V,1,,,N. Hall,4970,J.F. Villiers,P,6,2,1968,6 February 1968,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,P.J.M. Maas; H. Maas-van de Kamer,0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,0.98,N,10.9,E,,6,,,,0.98,10.9,NE010,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
191084,,V,2,,WAG.1202186,J.S. Strijk,162,,"LBV,WAG",15,10,2002,15 October 2002,October,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,"Maas, EJM de",0,0,2013,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0.1,No,No,1.233333,N,11.883333,E,,4,,,,1.233333,11.883333,NE111,590,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
205454,,V,1,,WAG.1202183,MINKb Series,411,C.M. Wilks,WAG,20,5,1990,20 May 1990,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Paracostus englerianus (K.Schum.) C.D.Specht,"Maas, EJM de",0,0,2012,,,Africa,West-Central Tropical Afr,Gabon,Woleu-Ntem,,,0,,0,0,0,0,No,No,1.5,N,12.8,E,,5,,,,1.5,12.8,NE112,0,0,Paracostus,englerianus,(K.Schum.) C.D.Specht,0,36,30003,304598,76,0
