BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
4043484,,V,0,,,F.A. Melville,387,T. Hooker,K,2,9,1958,2 September 1958,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Sierra Leone,,,,0,,0,0,0,0,No,No,8.216667,N,-13.166667,W,DM,,,,,8.216667,-13.166667,NW813,22,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,190,0
4043497,,V,0,,,E.B. Mhoro,47,,MO,11,7,2000,11 July 2000,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-6.883333,S,37.916667,E,DM,,,,,-6.883333,37.916667,SE637,750,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,214,0
4043527,,V,0,,,J.K. Morton,523,,K,9,4,1954,9 April 1954,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Ghana,,,,0,,0,0,0,0,No,No,6.283333,N,-0.466667,W,DM,,,,,6.283333,-0.466667,NW60,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,79,0
4043565,,V,0,,,N.B. Ndjele,510,,BR,0,0,0,,,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,Central Tropical Africa,Congo (Kinshasa),,,,0,,0,0,0,0,No,No,-5.4,S,27,E,DM,,,,,-5.4,27,SE527,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,236,0
4043584,,V,0,,,J.G.B. Newbould,4311,R.M. Harley,"BR,K",8,7,1959,8 July 1959,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,Kigoma,,,0,,0,0,0,0,No,No,-4.883333,S,29.75,E,DM,4,map,,,-4.883333,29.75,SE429,792,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,214,0
4043587,,V,0,,,B. Ngameni Kamga,147,,P,4,7,1978,4 July 1978,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,4.95,N,11.366667,E,DM,,,,,4.95,11.366667,NE411,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,46,0
4043594,,V,0,,,I. von Nolde,283,,B,0,9,1937,September 1937,September,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,South Tropical Africa,Angola,,,,0,,0,0,0,0,No,No,-9.266667,S,17.066667,E,DM,,,,,-9.266667,17.066667,SE917,1200,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,4,0
4043608,,V,0,,,C.F.A. Onochie,27696,,K,24,2,1953,24 February 1953,February,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West Tropical Africa,Nigeria,,,,0,,0,0,0,0,No,No,5.966667,N,6.166667,E,DM,,,,,5.966667,6.166667,NE56,0,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,154,0
4043612,,V,0,,,J.H. Padva,301,,"BR,K",23,3,1954,23 March 1954,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Tanzania,,,,0,,0,0,0,0,No,No,-6.15,S,37.6,E,DM,,,,,-6.15,37.6,SE637,548,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,214,0
4043667,,V,0,,,A.D. Poulsen,637,et al.,K,9,7,1994,9 July 1994,July,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus dubius (Afzel.) K.Schum.,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,East Tropical Africa,Uganda,,,,0,,0,0,0,0,No,No,0.566667,N,30.366667,E,DM,,,,,0.566667,30.366667,NE030,1400,0,Costus,dubius,(Afzel.) K.Schum.,0,36,9766,1553,215,0
