BRAHMS,UNIQUEID,CATEGORY,SPECIMENS,ACCESSION,BARCODE,COLLECTOR,NUMBER,ADDCOLL,DUPS,DAY,MONTH,YEAR,COLLECTED,MONTHNAME,FAMCLASS,ORDER,FAMILY,TAXSTAT,SPECIES,DETBY,DETDAY,DETMONTH,DETYEAR,ORIGINSTAT,ORIGINID,CONTINENT,REGION,COUNTRY,MAJORAREA,MINORAREA,GAZETTEER,SAMPLEID,SAMPNAME,ABUN,COUNT,DBH,HT,CULTIVATED,PHENOCULT,LAT,NS,LONG,EW,LLUNIT,LLRES,LLORIG,LLDATUM,QDS,LATDEC,LONGDEC,DEGSQ,ALT,ALTMAX,GENUS,SP1,AUTHOR1,UNIQUE,FACODE,GECODE,SPNUMBER,CONUMBER,CELLNUM
4042719,,V,2,,,S. Cable,2471,et al.,"K,U",20,5,1996,20 May 1996,May,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus kupensis Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,4.783333,N,9.683333,E,DM,,,,,4.783333,9.683333,NE49,870,0,Costus,kupensis,Maas & H.Maas,0,36,9766,705115,46,0
4042756,,V,0,,,M.R. Cheek,7111,"G.K. Ameka; Hermans, M; M.E. Elad; Enokpa; et al.","K,L,SCA,WAG,YA",24,1,1995,24 January 1995,January,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus kupensis Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,South-West Province,,,0,,0,0,0,0,No,No,4.783333,N,9.683333,E,DM,,,,,4.783333,9.683333,NE49,840,0,Costus,kupensis,Maas & H.Maas,0,36,9766,705115,46,0
4043368,,V,0,,,R. Letouzey,14456,,"K,P",17,3,1976,17 March 1976,March,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus kupensis Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,0,2014,,,Africa,West-Central Tropical Afr,Cameroon,,,,0,,0,0,0,0,No,No,4.95,N,9.933333,E,DM,4,map,,,4.95,9.933333,NE49,1000,0,Costus,kupensis,Maas & H.Maas,0,36,9766,705115,46,0
4477629,,V,1,,,M.R. Cheek,12498,Corcoran & B. Morgan,K,23,4,2005,23 April 2005,April,Magnoliopsida,Zingiberales,Zingiberaceae,acc,Costus kupensis Maas & H.Maas,P.J.M. Maas; H. Maas-van de Kamer,0,5,2016,,,Africa,West-Central Tropical Afr,Cameroon,Littoral,,Ebo Proposed National Park,0,,0,0,0,1.5,No,No,4.351667,N,10.415278,E,DMS,7,sheet,,,4.351667,10.415278,NE410,800,0,Costus,kupensis,Maas & H.Maas,0,36,9766,705115,46,0
