Elevation,latitude,name,longitude,Poll
1188.1,-0.41666,Burmeistera_cyclostigmata,-78.96666,2
1188.1,-0.25,Burmeistera_cyclostigmata,-78.8,2
1188.1,0,Burmeistera_cyclostigmata,-77.5,2
1188.1,0.01666,Burmeistera_cyclostigmata,-78.76666,2
1188.1,0.3,Burmeistera_cyclostigmata,-78.77,2
1188.1,0.325,Burmeistera_cyclostigmata,-79.76833,2
1188.1,0.36666,Burmeistera_cyclostigmata,-78.46666,2
1188.1,0.71666,Burmeistera_cyclostigmata,-78.88333,2
1188.1,0.75,Burmeistera_cyclostigmata,-78.45,2
1188.1,0.78333,Burmeistera_cyclostigmata,-78.5,2
1188.1,0.78333,Burmeistera_cyclostigmata,-78.5,2
1188.1,0.8,Burmeistera_cyclostigmata,-78.91666,2
1188.1,0.8,Burmeistera_cyclostigmata,-78.5,2
1188.1,0.81666,Burmeistera_cyclostigmata,-78.43333,2
1188.1,0.81666,Burmeistera_cyclostigmata,-78.35,2
1188.1,0.8294,Burmeistera_cyclostigmata,-78.1175,2
1188.1,0.83277,Burmeistera_cyclostigmata,-78.16694,2
1188.1,0.83333,Burmeistera_cyclostigmata,-78.46667,2
1188.1,0.83333,Burmeistera_cyclostigmata,-78.18333,2
1188.1,0.85,Burmeistera_cyclostigmata,-78.11666,2
1188.1,0.86666,Burmeistera_cyclostigmata,-78.46666,2
1188.1,0.88333,Burmeistera_cyclostigmata,-78.48333,2
1188.1,0.9,Burmeistera_cyclostigmata,-78.45,2
1188.1,0.9,Burmeistera_cyclostigmata,-78.45,2
1188.1,0.9,Burmeistera_cyclostigmata,-78.1,2
1188.1,0.91666,Burmeistera_cyclostigmata,-78.58333,2
1188.1,1,Burmeistera_cyclostigmata,-78.58333,2
1188.1,1.06666,Burmeistera_cyclostigmata,-78.03333,2
1188.1,1.07888,Burmeistera_cyclostigmata,-78.64972,2
1188.1,1.08333,Burmeistera_cyclostigmata,-78.01666,2
1188.1,1.13333,Burmeistera_cyclostigmata,-78.6,2
1188.1,1.13333,Burmeistera_cyclostigmata,-78.55,2
1188.1,1.16666,Burmeistera_cyclostigmata,-77.96666,2
1188.1,1.19444,Burmeistera_cyclostigmata,-78.57361,2
1188.1,1.25,Burmeistera_cyclostigmata,-78.67,2
1188.1,1.28333,Burmeistera_cyclostigmata,-78.75,2
1188.1,1.3,Burmeistera_cyclostigmata,-78.13333,2
1188.1,1.3,Burmeistera_cyclostigmata,-78.13333,2
1188.1,1.3,Burmeistera_cyclostigmata,-78.13333,2
1188.1,1.3,Burmeistera_cyclostigmata,-78.1333,2
1188.1,1.33333,Burmeistera_cyclostigmata,-78.71666,2
1188.1,1.5,Burmeistera_cyclostigmata,-78,2
1188.1,1.5,Burmeistera_cyclostigmata,-78,2
1188.1,1.5,Burmeistera_cyclostigmata,-78,2
1188.1,1.5,Burmeistera_cyclostigmata,-78,2
1188.1,2.5,Burmeistera_cyclostigmata,-76.8333,2
1188.1,3.66666,Burmeistera_cyclostigmata,-76.83333,2
1188.1,3.83333,Burmeistera_cyclostigmata,-76.58333,2
1188.1,3.93333,Burmeistera_cyclostigmata,-77.13333,2
1188.1,5.37735,Burmeistera_cyclostigmata,-76.0856,2
1188.1,5.4463,Burmeistera_cyclostigmata,-76.0622,2
1188.1,6.25,Burmeistera_cyclostigmata,-77.31666,2
1188.1,6.53419,Burmeistera_cyclostigmata,-76.3194,2
1188.1,6.53628,Burmeistera_cyclostigmata,-76.3208,2
1188.1,6.55,Burmeistera_cyclostigmata,-76.31667,2
1188.1,6.74237,Burmeistera_cyclostigmata,-75.34509,2
1188.1,7.10802,Burmeistera_cyclostigmata,-75.4916,2
1188.1,7.11666,Burmeistera_cyclostigmata,-75.46666,2
1188.1,7.98333,Burmeistera_cyclostigmata,-78.36666,2
1188.1,8,Burmeistera_cyclostigmata,-77.75,2
1188.1,8.48222,Burmeistera_cyclostigmata,-81.09805,2
1188.1,8.48222,Burmeistera_cyclostigmata,-81.09805,2
1188.1,8.48222,Burmeistera_cyclostigmata,-81.09805,2
1188.1,8.48222,Burmeistera_cyclostigmata,-81.09805,2
1188.1,8.48222,Burmeistera_cyclostigmata,-81.09805,2
1188.1,8.5,Burmeistera_cyclostigmata,-81.16667,2
1188.1,8.50722,Burmeistera_cyclostigmata,-81.1075,2
1188.1,8.50833,Burmeistera_cyclostigmata,-81.80833,2
1188.1,8.51083,Burmeistera_cyclostigmata,-81.12556,2
1188.1,8.51083,Burmeistera_cyclostigmata,-81.12556,2
1188.1,8.51222,Burmeistera_cyclostigmata,-81.12806,2
1188.1,8.51222,Burmeistera_cyclostigmata,-81.12805,2
1188.1,8.51333,Burmeistera_cyclostigmata,-81.11667,2
1188.1,8.51361,Burmeistera_cyclostigmata,-81.11555,2
1188.1,8.51666,Burmeistera_cyclostigmata,-81.12,2
1188.1,8.51666,Burmeistera_cyclostigmata,-81.11666,2
1188.1,8.51666,Burmeistera_cyclostigmata,-81.11666,2
1188.1,8.53333,Burmeistera_cyclostigmata,-81.11667,2
1188.1,8.53333,Burmeistera_cyclostigmata,-81.11667,2
1188.1,8.53333,Burmeistera_cyclostigmata,-81.11667,2
1188.1,8.53333,Burmeistera_cyclostigmata,-81.11666,2
1188.1,8.53861,Burmeistera_cyclostigmata,-81.81139,2
1188.1,8.53972,Burmeistera_cyclostigmata,-81.15722,2
1188.1,8.53972,Burmeistera_cyclostigmata,-81.15722,2
1188.1,8.53972,Burmeistera_cyclostigmata,-81.13444,2
1188.1,8.54003,Burmeistera_cyclostigmata,-81.15565,2
1188.1,8.55083,Burmeistera_cyclostigmata,-81.17277,2
1188.1,8.6,Burmeistera_cyclostigmata,-81.1,2
1188.1,8.6,Burmeistera_cyclostigmata,-81.1,2
1188.1,8.6,Burmeistera_cyclostigmata,-81.1,2
1188.1,8.61667,Burmeistera_cyclostigmata,-80.11667,2
1188.1,8.62083,Burmeistera_cyclostigmata,-80.11555,2
1188.1,8.62083,Burmeistera_cyclostigmata,-80.11555,2
1188.1,8.62167,Burmeistera_cyclostigmata,-80.11,2
1188.1,8.62167,Burmeistera_cyclostigmata,-80.11,2
1188.1,8.62167,Burmeistera_cyclostigmata,-80.10833,2
1188.1,8.62222,Burmeistera_cyclostigmata,-80.11528,2
1188.1,8.625,Burmeistera_cyclostigmata,-80.11333,2
1188.1,8.625,Burmeistera_cyclostigmata,-80.10833,2
1188.1,8.62639,Burmeistera_cyclostigmata,-80.12222,2
1188.1,8.63333,Burmeistera_cyclostigmata,-80.58333,2
1188.1,8.63333,Burmeistera_cyclostigmata,-80.10833,2
1188.1,8.63333,Burmeistera_cyclostigmata,-80.10833,2
1188.1,8.63333,Burmeistera_cyclostigmata,-80.1,2
1188.1,8.63333,Burmeistera_cyclostigmata,-80.1,2
1188.1,8.63667,Burmeistera_cyclostigmata,-80.12944,2
1188.1,8.6375,Burmeistera_cyclostigmata,-81.02278,2
1188.1,8.6375,Burmeistera_cyclostigmata,-80.10694,2
1188.1,8.65,Burmeistera_cyclostigmata,-82.18333,2
1188.1,8.655,Burmeistera_cyclostigmata,-80.09861,2
1188.1,8.66667,Burmeistera_cyclostigmata,-80.11667,2
1188.1,8.68333,Burmeistera_cyclostigmata,-82.2,2
1188.1,8.68333,Burmeistera_cyclostigmata,-80.6,2
1188.1,8.7,Burmeistera_cyclostigmata,-82.21666,2
1188.1,8.70147,Burmeistera_cyclostigmata,-82.23261,2
1188.1,8.73333,Burmeistera_cyclostigmata,-82.28333,2
1188.1,8.73333,Burmeistera_cyclostigmata,-82.28333,2
1188.1,8.73333,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.73333,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.73333,Burmeistera_cyclostigmata,-82.21666,2
1188.1,8.7425,Burmeistera_cyclostigmata,-82.25222,2
1188.1,8.74652,Burmeistera_cyclostigmata,-82.23648,2
1188.1,8.74972,Burmeistera_cyclostigmata,-82.24444,2
1188.1,8.74972,Burmeistera_cyclostigmata,-82.24444,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.3,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.26667,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.25,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.23333,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.23333,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.23333,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.21667,2
1188.1,8.75,Burmeistera_cyclostigmata,-82.21667,2
1188.1,8.75,Burmeistera_cyclostigmata,-78.5,2
1188.1,8.75,Burmeistera_cyclostigmata,-78.5,2
1188.1,8.75583,Burmeistera_cyclostigmata,-83.04694,2
1188.1,8.75593,Burmeistera_cyclostigmata,-83.04708,2
1188.1,8.76472,Burmeistera_cyclostigmata,-82.21111,2
1188.1,8.76472,Burmeistera_cyclostigmata,-82.21111,2
1188.1,8.76666,Burmeistera_cyclostigmata,-82.2,2
1188.1,8.76667,Burmeistera_cyclostigmata,-82.2,2
1188.1,8.77194,Burmeistera_cyclostigmata,-82.1975,2
1188.1,8.78,Burmeistera_cyclostigmata,-83,2
1188.1,8.78,Burmeistera_cyclostigmata,-82.96,2
1188.1,8.78,Burmeistera_cyclostigmata,-82.95,2
1188.1,8.78167,Burmeistera_cyclostigmata,-82.21333,2
1188.1,8.78306,Burmeistera_cyclostigmata,-82.20611,2
1188.1,8.78306,Burmeistera_cyclostigmata,-82.20611,2
1188.1,8.78333,Burmeistera_cyclostigmata,-82.95,2
1188.1,8.78333,Burmeistera_cyclostigmata,-82.21667,2
1188.1,8.78333,Burmeistera_cyclostigmata,-82.21666,2
1188.1,8.784525523,Burmeistera_cyclostigmata,-82.94969524,2
1188.1,8.78498,Burmeistera_cyclostigmata,-82.98851,2
1188.1,8.785,Burmeistera_cyclostigmata,-82.22167,2
1188.1,8.78597,Burmeistera_cyclostigmata,-83.02469,2
1188.1,8.78611,Burmeistera_cyclostigmata,-83.97777,2
1188.1,8.78611,Burmeistera_cyclostigmata,-82.97778,2
1188.1,8.78833,Burmeistera_cyclostigmata,-82.23333,2
1188.1,8.79,Burmeistera_cyclostigmata,-82.96,2
1188.1,8.79,Burmeistera_cyclostigmata,-82.95,2
1188.1,8.79111,Burmeistera_cyclostigmata,-82.95555,2
1188.1,8.79361,Burmeistera_cyclostigmata,-80.95527,2
1188.1,8.79944,Burmeistera_cyclostigmata,-82.96888,2
1188.1,8.8,Burmeistera_cyclostigmata,-82.56667,2
1188.1,8.80183,Burmeistera_cyclostigmata,-82.20117,2
1188.1,8.81,Burmeistera_cyclostigmata,-83.19,2
1188.1,8.81,Burmeistera_cyclostigmata,-83.18,2
1188.1,8.81722,Burmeistera_cyclostigmata,-83.19028,2
1188.1,8.83833,Burmeistera_cyclostigmata,-82.325,2
1188.1,8.88722,Burmeistera_cyclostigmata,-80.64639,2
1188.1,8.91666,Burmeistera_cyclostigmata,-82.71666,2
1188.1,9,Burmeistera_cyclostigmata,-82.23333,2
1188.1,9.02385,Burmeistera_cyclostigmata,-83.50885,2
1188.1,9.07056,Burmeistera_cyclostigmata,-82.85194,2
1188.1,9.08333,Burmeistera_cyclostigmata,-82.84167,2
1188.1,9.26182,Burmeistera_cyclostigmata,-82.50265,2
1188.1,9.27,Burmeistera_cyclostigmata,-83.86,2
1188.1,9.29,Burmeistera_cyclostigmata,-83.78,2
1188.1,9.29,Burmeistera_cyclostigmata,-83.76,2
1188.1,9.29472,Burmeistera_cyclostigmata,-83.76417,2
1188.1,9.29472,Burmeistera_cyclostigmata,-83.76417,2
1188.1,9.295,Burmeistera_cyclostigmata,-82.39,2
1188.1,9.3,Burmeistera_cyclostigmata,-83.76,2
1188.1,9.3,Burmeistera_cyclostigmata,-79.26667,2
1188.1,9.3,Burmeistera_cyclostigmata,-79.26666,2
1188.1,9.35,Burmeistera_cyclostigmata,-83.23,2
1188.1,9.35,Burmeistera_cyclostigmata,-82.99,2
1188.1,9.35417,Burmeistera_cyclostigmata,-83.23444,2
1188.1,9.35761,Burmeistera_cyclostigmata,-83.22903,2
1188.1,9.35803,Burmeistera_cyclostigmata,-83.2295,2
1188.1,9.35833,Burmeistera_cyclostigmata,-83.23333,2
1188.1,9.35972,Burmeistera_cyclostigmata,-82.99583,2
1188.1,9.36,Burmeistera_cyclostigmata,-83.23,2
1188.1,9.36056,Burmeistera_cyclostigmata,-83.23194,2
1188.1,9.39,Burmeistera_cyclostigmata,-83.6,2
1188.1,9.39166,Burmeistera_cyclostigmata,-83.59722,2
1188.1,9.39167,Burmeistera_cyclostigmata,-83.60833,2
1188.1,9.39167,Burmeistera_cyclostigmata,-83.60833,2
1188.1,9.39167,Burmeistera_cyclostigmata,-83.59722,2
1188.1,9.39722,Burmeistera_cyclostigmata,-83.08611,2
1188.1,9.41167,Burmeistera_cyclostigmata,-83.85722,2
1188.1,9.41167,Burmeistera_cyclostigmata,-83.85722,2
1188.1,9.45,Burmeistera_cyclostigmata,-83.71,2
1188.1,9.46,Burmeistera_cyclostigmata,-83.59,2
1188.1,9.47778,Burmeistera_cyclostigmata,-83.69028,2
1188.1,9.47778,Burmeistera_cyclostigmata,-83.69028,2
1188.1,9.47778,Burmeistera_cyclostigmata,-83.69028,2
1188.1,9.47778,Burmeistera_cyclostigmata,-83.69028,2
1188.1,9.47778,Burmeistera_cyclostigmata,-83.69028,2
1188.1,9.48,Burmeistera_cyclostigmata,-84.05,2
1188.1,9.48194,Burmeistera_cyclostigmata,-84.01667,2
1188.1,9.48194,Burmeistera_cyclostigmata,-84.01667,2
1188.1,9.48442,Burmeistera_cyclostigmata,-84.00471,2
1188.1,9.48583,Burmeistera_cyclostigmata,-83.83222,2
1188.1,9.5,Burmeistera_cyclostigmata,-83.95556,2
1188.1,9.51,Burmeistera_cyclostigmata,-84.06,2
1188.1,9.51,Burmeistera_cyclostigmata,-84.05,2
1188.1,9.54,Burmeistera_cyclostigmata,-84.01,2
1188.1,9.54306,Burmeistera_cyclostigmata,-83.97917,2
1188.1,9.54306,Burmeistera_cyclostigmata,-83.97917,2
1188.1,9.55,Burmeistera_cyclostigmata,-84.02,2
1188.1,9.55277,Burmeistera_cyclostigmata,-84.02083,2
1188.1,9.55833,Burmeistera_cyclostigmata,-84.05417,2
1188.1,9.56667,Burmeistera_cyclostigmata,-84.05444,2
1188.1,9.57,Burmeistera_cyclostigmata,-84.06,2
1188.1,9.58056,Burmeistera_cyclostigmata,-84.18333,2
1188.1,9.59,Burmeistera_cyclostigmata,-83.98,2
1188.1,9.59583,Burmeistera_cyclostigmata,-84.06806,2
1188.1,9.6,Burmeistera_cyclostigmata,-84.14444,2
1188.1,9.6,Burmeistera_cyclostigmata,-83.29,2
1188.1,9.60539,Burmeistera_cyclostigmata,-83.28017,2
1188.1,9.60667,Burmeistera_cyclostigmata,-84.12139,2
1188.1,9.6075,Burmeistera_cyclostigmata,-84.10083,2
1188.1,9.6667,Burmeistera_cyclostigmata,-84,2
1188.1,9.69167,Burmeistera_cyclostigmata,-83.77778,2
1188.1,9.7,Burmeistera_cyclostigmata,-83.78,2
1188.1,9.7,Burmeistera_cyclostigmata,-83.78,2
1188.1,9.7,Burmeistera_cyclostigmata,-83.76,2
1188.1,9.7,Burmeistera_cyclostigmata,-83.76,2
1188.1,9.71,Burmeistera_cyclostigmata,-83.78,2
1188.1,9.72,Burmeistera_cyclostigmata,-84.19,2
1188.1,9.72,Burmeistera_cyclostigmata,-83.78,2
1188.1,9.73,Burmeistera_cyclostigmata,-83.29,2
1188.1,9.78341,Burmeistera_cyclostigmata,-83.75193,2
1188.1,9.78611,Burmeistera_cyclostigmata,-83.68,2
1188.1,9.78861,Burmeistera_cyclostigmata,-83.14167,2
1188.1,9.78861,Burmeistera_cyclostigmata,-83.14167,2
1188.1,9.79,Burmeistera_cyclostigmata,-83.94,2
1188.1,9.79444,Burmeistera_cyclostigmata,-83.10833,2
1188.1,9.79796,Burmeistera_cyclostigmata,-83.85754,2
1188.1,9.8,Burmeistera_cyclostigmata,-83.96,2
1188.1,9.80516,Burmeistera_cyclostigmata,-83.16788,2
