Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Burmeistera_vulgaris_16                   ,2,dull,0.411764706,0.941176471,125,25,15,432,60,4.1,14,21,10,3,1,4.828313737,10,3,14,0.3,-1.869135619,-10.77760181,-2.4500226,0.64469194,2,dull,no,horizontal,berry,1758.1,solitary,,
Burmeistera_zurquiensis_LL38              ,2,dull,0.248275862,0.534482759,25,33,19,294,15,35,5,0,7,4,1,3.218875825,7,4,5,0.571428571,-2.571892127,-4.508233486,-6.0553724,-1.32089988,2,dull,no,horizontal,berry,2019.9,solitary,,
Centropogon_aequatorialis_LL63            ,1,bright,1.090909091,0.8,65.5,37.2,32,328.56,21.96,45.5,6,13,6.8,4,1,4.182050143,6.8,4,6,0.588235294,0.127274157,-0.285858771,2.9732974,-1.77633161,1,bright,no,horizontal,berry,2253,solitary,,
Centropogon_argutus_LL243                 ,1,bright,0.75,0.375,20,45,37,500,12,45,8,14,8,5,1,2.995732274,8,5,4,0.625,0.393266026,2.941859612,-0.8348961,0.15041092,1,bright,yes,vertical,berry,2750,solitary,,
Centropogon_asclepius_LL61                ,1,bright,0.888888889,0.518518519,23,34,30,320,12,44,8,15,9,3,1,3.135494216,9,3,8,0.333333333,-1.26389077,1.605191311,0.5653142,-0.30578358,1,bright,yes,horizontal,berry,2576.2,solitary,,
Centropogon_baezanus_LL64                 ,3,bright,0.5,0.653846154,20,45,35,320,27.3,36,15,10,15,6,0.89320105,2.995732274,15,6,5,0.4,-0.228559529,-1.197700196,-6.6162269,-3.70156639,1,bright,no,vertical,berry,1997.9,solitary,,
Centropogon_bangii_17                     ,3,bright,0.518072289,0.361445783,16.5,21,14,128.5625,11,22,8.7,8.5,6,1.6,0.908726179,2.803360381,8.6,1.6,8.8,0.186046512,-4.959219848,-0.382300945,-5.7318551,1.24623385,1,bright,no,vertical,berry,1274.5,solitary,,
Centropogon_brittonianus_LL83             ,2,dull,1,1,124,33.42,21,1859,90,59.88,18,20.82,17,10,1,4.820281566,17,10,?,0.588235294,5.172195789,-6.528830988,3.2344928,-0.12919374,2,dull,yes,horizontal,berry,3116.7,solitary,,
Centropogon_cf_weberbaueri_LL174,1,bright,0.8125,0.5,75,54,41,720,16,48,4,20,10,8,1,4.317488114,10,8,4,0.8,2.806582975,1.771956532,0.1690082,-0.37607223,1,bright,yes,vertical,berry,3300,solitary,,
Centropogon_coccineus_LL8                 ,1,bright,1.342857143,0.542857143,60,46,30,250,15,41,7,2,8,4,0.99476678,4.094344562,8,4,1,0.5,-0.032980747,2.256721662,4.2437535,-0.6497353,1,bright,no,horizontal,berry,630,solitary,,
