Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Centropogon_weberbaueri_LL157             ,1,bright,0.866666667,0.6,45,36.5,29.5,496.375,13,35,4,13,7.5,4,1,3.80666249,7.5,4,4,0.533333333,-1.069590863,0.236727933,0.7342368,0.01081559,1,bright,yes,vertical,berry,3300,solitary,,
Centropogon_yarumalensis_LL202            ,1,bright,0.882352941,0.470588235,36,36,30,405,17.25,45,7,8.5,8,3,0.987802071,3.583518938,8,3,6.5,0.375,-0.511510126,1.591283989,0.1245635,0.03530079,1,bright,yes,horizontal,berry,2459,solitary,,
Centropogon_yungasensis_LL188             ,3,bright,0.460526316,0.355263158,25,26,9,48,16,15,5,0,3,3,0.926475548,3.218875825,3,3,5,1,-5.032900232,-1.305259748,-5.4714676,2.20523561,1,bright,yes,vertical,berry,2333.56,solitary,,
Siphocampylus_actinothrix_LL190           ,2,dull,1,1,75,30,11,108,40,40,5,17,10,10,1,4.317488114,10,10,5,1,-1.635751857,-4.295481792,2.8372076,-1.23223352,2,dull,no,vertical,capsule,3503.125,solitary,,
Siphocampylus_aff_rictus_LL166            ,2,dull,0.869565217,0.869565217,120,51,21,891,36.9,40,15,0,12,11,1,4.787491743,12,11,6,0.916666667,2.278767088,-3.800530857,1.691376,-0.36795875,2,dull,no,vertical,capsule,2600,solitary,,
Siphocampylus_affinis_89                  ,2,dull,0.790697674,0.437209302,85,28,22,405,24,12,6,10,11,6,1,4.442651256,11,6,6,0.545454545,-2.424314405,-1.262412937,0.6125779,3.79733488,2,dull,no,vertical,capsule,2148.1,raceme,,
Siphocampylus_andinus_LL94                ,1,bright,0.8,0.368421053,47,52.05,39.5,64,15.4,55,7,9,6,2.5,1,3.850147602,6,2.5,7,0.416666667,1.8472987,3.653098706,-0.3252871,-0.49286787,1,bright,yes,horizontal,capsule,3215.4,solitary,,
Siphocampylus_angustiflorus_LL196         ,1,bright,0.75,0.3,7,32,20,24,15,23,6,12,5,1,1,1.945910149,5,1,6,0.2,-3.647583965,1.670175642,-0.644291,2.65220616,1,bright,no,horizontal,capsule,2230.5,solitary,,
Siphocampylus_antioquianus_LL197          ,1,bright,0.920245399,0.251533742,108,52,43,900,30.4,58,13,9,12.5,2,1,4.682131227,12.5,2,13,0.16,4.850356383,3.076851442,0.9733153,1.61516008,1,bright,no,horizontal,capsule,2661.25,solitary,,
Siphocampylus_aureus_LL111                ,1,bright,0.738461538,0.323076923,53.25,53,42.5,67.2,6.75,51.5,7.5,4.5,7.7,3.22,1,3.974997805,7.7,3.22,7.5,0.418181818,1.74935159,4.118863664,-0.8462568,-0.162543,1,bright,no,horizontal,capsule,1116.7,solitary,,
Siphocampylus_ayersiae_LL88               ,2,dull,1,1.272727273,30.5,20.575,8,222.3499219,17.845,39.25,5.6,28,6.75,4.85,1,3.417726684,6.75,4.85,5.6,0.718518519,-4.311228262,-5.274734685,2.7808582,-3.62026036,2,dull,no,vertical,capsule,3020,solitary,,
Siphocampylus_betulaefolius_88            ,1,bright,0.982142857,0.446428571,46,46,40,36,12,46,5,6,8,2,0.996641478,3.828641396,8,2,5,0.25,0.572931943,3.334323243,1.1926389,-0.72764237,1,bright,yes,horizontal,capsule,550,solitary,,
Siphocampylus_bilabiatus_LL51             ,1,bright,0.681818182,0.575757576,65,58,32,405,27,58,8,19,7,4,1,4.17438727,7,4,8,0.571428571,2.995958028,0.54325912,-0.9840099,-1.31600531,1,bright,yes,horizontal,capsule,1570.7,solitary,,
Siphocampylus_boliviensis_LL90            ,1,bright,0.839285714,0.392857143,79,50,40,180,16,39,2,1,8,4,1,4.369447852,8,4,2,0.5,1.457585313,2.47586056,0.444637,0.7486737,1,bright,no,vertical,capsule,3218,solitary,,
Siphocampylus_brevicalyx_LL76             ,1,bright,0.733333333,0.275,80,60,52,108,18,70,9,15,14,3.5,1,4.382026635,14,3.5,9,0.25,5.040368714,5.126732301,-0.8873514,-0.80939479,1,bright,yes,horizontal,capsule,2902.6,solitary,,
Siphocampylus_chloroleucus_100            ,2,dull,0.692307692,0.442307692,10.7,23.5,12.5,44.55,16.32,28.5,7.75,13.5,6.4,4.15,1,2.370243741,6.4,4.15,7.75,0.6484375,-4.417981974,-0.284817006,-0.9595267,2.02359644,2,dull,no,vertical,capsule,3200,solitary,,
Siphocampylus_citrinus_LL179              ,1,bright,1.044444444,0.466666667,29,38,20.5,256,12,40.5,6,12.5,5,5,1,3.36729583,5,5,6,1,-1.808764954,1.669009365,1.8016129,0.50814121,1,bright,no,vertical,capsule,3150,solitary,,
Siphocampylus_clotho_LL245                ,1,bright,0.602150538,0.344086022,40,67,37,98,27,55,5,22,10,5,1,3.688879454,10,5,5,0.5,3.261431269,3.15338672,-2.0319258,-0.4351588,1,bright,yes,horizontal,capsule,3150,solitary,,
Siphocampylus_convolvulaceus_101          ,1,bright,0.947368421,0.342105263,100,48,40,144,21,40,7.8,10,10,4,1,4.605170186,10,4,,0.4,1.887558938,2.623609513,1.4309287,1.3989872,1,bright,no,vertical,capsule,715,solitary,,
Siphocampylus_correoides_103              ,1,bright,0.8,1,25,28,14,190.125,10,33,4,20.5,3.5,2,1,3.218875825,3.5,2,4,0.571428571,-3.941734828,-3.619066796,0.5247374,-2.33902023,1,bright,no,horizontal,capsule,3174.1,solitary,,
Siphocampylus_corymbiferus_106            ,1,bright,0.870967742,0.338709677,45,44,32,75,14,49,4.5,15,5,3,1,3.80666249,5,3,4.5,0.6,0.27247908,3.166161982,0.2895834,0.53893563,1,bright,yes,horizontal,capsule,1645.8,solitary,,
Siphocampylus_corymbiferus_LL91           ,1,bright,1,0.625,37,41,30,88,8.25,39.62,6,13,6,2.5,1,3.610917913,6,2.5,6,0.416666667,-1.236960235,1.385210341,1.7120913,-1.08880386,1,bright,yes,horizontal,capsule,1645.8,solitary,,
Siphocampylus_corynoides_LL175            ,2,dull,1.144067797,1.423728814,110,35,30,1296,60,17,10.6,14,10,10,1,4.700480366,10,10,,1,1.041526258,-7.710303984,5.2796779,-2.26266786,2,dull,no,horizontal,capsule,2359.8,solitary,,
Siphocampylus_dependens_LL156             ,1,bright,0.615384615,0.446153846,75,47,30,567,21,48,6,12,6.5,4,0.994401679,4.317488114,6.5,4,6,0.615384615,1.639948188,0.420698107,-1.6676266,0.66648916,1,bright,yes,horizontal,capsule,2707,solitary,,
Siphocampylus_elfredii_LL185              ,1,bright,1,0.742424242,45,45,30,384,24,43,7,3,9,8,1,3.80666249,9,8,7,0.888888889,0.268464341,-0.005841864,1.9775946,-1.59632411,1,bright,yes,vertical,capsule,2847.5,solitary,,
Siphocampylus_fiebrigii_LL113             ,1,bright,1.037527594,0.375275938,62,47,40,125,12,49,6,10,8,2.5,1,4.127134385,8,2.5,6,0.3125,1.235629777,3.744370545,1.7242495,-0.12675329,1,bright,yes,horizontal,capsule,900,solitary,,
Siphocampylus_flagelliformis_LL92         ,1,bright,0.909090909,0.515151515,19,30,21,55.6875,11,36,4.5,13.45,4.47,1.5,1,2.944438979,4.47,1.5,4.5,0.33557047,-3.058944412,0.976217827,0.8143811,0.44484552,1,bright,no,horizontal,capsule,2436,solitary,,
Siphocampylus_fulgens_112                 ,1,bright,1.1875,0.5,37,44,35,200,10,47,8,9,11,4,1,3.610917913,11,4,8,0.363636364,-0.04310984,3.186230283,2.901258,-1.05602883,1,bright,no,horizontal,capsule,1200,solitary,,
Siphocampylus_giganteus_LL74              ,2,dull,0.751322751,0.656084656,115,77,40,4000,80,57,10,34,19,10,1,4.744932128,19,10,10,0.526315789,11.60560746,-3.833597113,0.160579,1.16613597,2,dull,no,vertical,capsule,3128.2,solitary,,
Siphocampylus_jelksii_LL159               ,2,dull,0.727272727,0.636363636,160,53,22,1573,80,36,7,3,15,12,1,5.075173815,15,12,7,0.8,5.562765121,-5.269627849,0.7870233,3.17520307,2,dull,no,vertical,capsule,3395.4,solitary,,
Siphocampylus_krauseanus_LL250            ,1,bright,0.962962963,0.444444444,25,31,21,45.375,24,33,6,11,7,3.5,1,3.218875825,7,3.5,6,0.5,-2.537560415,1.023212248,1.3133476,1.3385205,1,bright,no,horizontal,capsule,2407.545455,solitary,,
Siphocampylus_longipedunculatus_121,1,bright,0.769230769,0.461538462,80,53,40,700,24,51,4,15,9,5,1,4.382026635,9,5,4,0.555555556,3.262242719,1.57973027,-0.1592487,0.04944084,1,bright,nl,horizontal,capsule,900,solitary,,
Siphocampylus_lycioides_122               ,1,bright,1,0.571428571,66,35,25,182.25,8,34,7,10,7,3,1,4.189654742,7,3,7,0.428571429,-1.728421396,0.53756389,1.9522622,0.49575379,1,bright,yes,horizontal,capsule,925,solitary,,
Siphocampylus_macropodus_123              ,1,bright,0.928571429,0.357142857,45,55,49,108,17.5,49,4,12,10,5,0.988153098,3.80666249,10,5,4,0.5,2.388651278,4.569658004,0.2838728,-0.96543345,1,bright,yes,horizontal,capsule,900,solitary,,
Siphocampylus_matthiaei_LL155             ,2,dull,0.538461538,0.307692308,120,37.5,21,180.5,56,34.5,7,22.5,12,4,1,4.787491743,12,4,7,0.333333333,1.393986759,-1.614545956,-1.3763862,4.40303519,2,dull,no,vertical,capsule,3040,solitary,,
Siphocampylus_nematosepalus_LL30,1,bright,0.611111111,0.277777778,35,51,38,144,28,55,3,20,8,3,1,3.555348061,8,3,3,0.375,2.155639088,3.335448008,-1.937353,0.50768651,1,bright,no,horizontal,capsule,2561.7,solitary,,
Siphocampylus_nemoralis_LL116             ,1,bright,1,0.789473684,22,22,10,84.609375,4.2,19.5,3.5,6,3.7,2.4,1,3.091042453,3.7,2.4,3.5,0.648648649,-5.789880821,-1.9194723,2.1348644,0.10203594,1,bright,yes,horizontal,capsule,2500,solitary,,
Siphocampylus_nitidus_126                 ,1,bright,0.740740741,0.503703704,26,43,35,90.75,19.6,49,6,12,6,2,1,3.258096538,6,2,6,0.333333333,0.231707811,1.864739003,-0.6961311,-0.89578754,1,bright,yes,horizontal,capsule,1050,solitary,,
Siphocampylus_oblongifolius_LL114         ,1,bright,0.86,0.5,23,39,28,56,15,44,3.5,15.5,3.75,2.3,1,3.135494216,3.75,2.3,3.5,0.613333333,-1.158762755,1.748221663,0.3167535,-0.32323686,1,bright,no,horizontal,capsule,940,solitary,,
Siphocampylus_obovatus_LL173              ,2,dull,0.782608696,0.939130435,12.2,17.5,9.5,130.696,18,36.5,5,27.5,5.6,4.1,1,2.501435952,5.6,4.1,5,0.732142857,-4.779526954,-3.811783852,0.2808896,-1.64936096,2,dull,no,vertical,capsule,2350,solitary,,
Siphocampylus_orbignianus_LL93            ,1,bright,0.897959184,0.612244898,30,41,31,108,15,54.81,7,12.71,4.5,2.5,1,3.401197382,4.5,2.5,?,0.555555556,-0.056212295,1.574924834,0.6916443,-1.77056527,1,bright,yes,horizontal,capsule,1238.4,solitary,,
Siphocampylus_pubescens_LL223,1,bright,0.93,0.29,39,39,30,364.5,14,42,9,18,10,3,0.985514486,3.663561646,10,3,9,0.3,-0.488584422,3.017258233,0.2021628,1.24341223,1,bright,no,horizontal,capsule,2565,solitary,,
Siphocampylus_rosmarinifolius_LL162       ,1,bright,1.238095238,0.547619048,40,36,22.5,73.9375,13,32,4,15.5,6,3,1,3.688879454,6,3,4,0.5,-2.418255216,1.379128314,3.6340617,0.24172123,1,bright,yes,vertical,capsule,3040,raceme,,
Siphocampylus_rusbyanus_LL52              ,2,dull,0.764705882,0.647058824,90,42,12,175,18,28,7,16,11,7,1,4.49980967,11,7,7,0.636363636,-1.600649151,-2.355642887,0.3791045,1.30291743,2,dull,no,vertical,capsule,2440.4,raceme,,
Siphocampylus_scandens_131                ,1,bright,0.777777778,0.37037037,10,39,30,101.53125,10.5,45,5,13.5,5,1.75,1,2.302585093,5,1.75,5,0.35,-1.208323114,2.889783434,-0.6425225,0.26472687,1,bright,no,horizontal,capsule,2266.6,raceme,,
Siphocampylus_sceptrum_132                ,1,bright,1.211538462,0.961538462,45.5,41.2,18,130.9275,13.64,40,5.9,19,5.5,5,1,3.817712326,5.5,5,5.9,0.909090909,-1.883470452,-1.234149607,4.0568286,-2.61558573,1,bright,yes,horizontal,capsule,3346,pendent,,
Siphocampylus_smilax_LL95                 ,2,dull,0.402173913,0.619565217,23,28.5,16.965,303.065,28.875,33.94,11.75,21.675,9,2.6,1,3.135494216,9,2.6,11.75,0.288888889,-2.559387855,-3.820611267,-3.7297761,-0.22232185,2,dull,no,vertical,capsule,1004.2,raceme,,
Siphocampylus_sp_LL164                    ,1,bright,1.268292683,1.048780488,55,41,39,320,24,44,7,16,8,3.5,1,4.007333185,8,3.5,7,0.4375,0.482872705,-0.613278972,4.7455445,-3.99683765,1,bright,yes,horizontal,capsule,3000,raceme,,
Siphocampylus_sp_nov_LL189,1,bright,0.611111111,0.5,40,45,31,225,12,45,9,8,6,4,1,3.688879454,6,4,9,0.666666667,0.004221908,0.941857956,-1.7502326,-0.40846306,1,bright,no,horizontal,capsule,3800,raceme,,
Siphocampylus_sp_nov1_LL102               ,1,bright,0.75,0.75,84,37,22,128,12.75,38,9,9.39,8,7,1,4.430816799,8,7,9,0.875,-1.126164324,-2.001778665,0.1834635,-0.55773461,1,bright,no,horizontal,capsule,2150,raceme,,
Siphocampylus_sparsipilus_LL96            ,1,bright,0.918367347,0.367346939,15,46,30,294,27,51.77,5.5,14.73,6,4,1,2.708050201,6,4,5.5,0.666666667,0.610538411,2.951580544,0.5002187,0.0938771,1,bright,no,horizontal,capsule,2500,raceme,,
Siphocampylus_tunarensis_LL97             ,2,dull,0.833333333,1.197916667,129,28,15,700,32,41.5,8,26,7.5,5,1,4.859812404,7.5,5,8,0.666666667,-0.228337914,-7.124055783,1.9115902,-1.9209143,2,dull,no,horizontal,capsule,3550,raceme,,
Siphocampylus_tupaeformis_144             ,1,bright,1,0.666666667,25,35,22,320,21,40,4.5,16,6,2,1,3.218875825,6,2,4.5,0.333333333,-1.720503153,-0.019775128,1.7885442,-0.62684206,1,bright,no,horizontal,capsule,3412.1,raceme,,
Siphocampylus_umbellatus_LL100            ,2,dull,1,1.3375,145,47.37,22,440.64,63,52.13,11.5,14.35,11,8,1,4.976733742,11,8,11.5,0.727272727,3.473621044,-6.85475363,3.7768401,-3.54188431,2,dull,no,horizontal,capsule,3050,raceme,,
Siphocampylus_vatkeanus_LL119             ,2,dull,0.526315789,0.692982456,135,43,17,845,50,56,15,35,15,10,1,4.905274778,15,10,15,0.666666667,3.24924174,-4.993600249,-1.6337586,0.49589421,2,dull,no,horizontal,capsule,3465.3,solitary,,
Siphocampylus_virgatus_LL167 ,1,bright,1.311111111,0.444444444,40,30,19,32,6,26,3,1,6,3,1,3.688879454,6,3,3,0.5,-3.768309927,1.797921229,4.0653713,1.32032913,1,bright,yes,vertical,capsule,1330,raceme,,
Siphocampylus_werdermannii_LL101,1,bright,1.06,0.5,85,41,22.63,81,12,42,9,14,8,1.75,1,4.442651256,5.4,2.3,5,0.425925926,-0.544101245,1.08386754,2.387793,0.74065695,1,bright,yes,horizontal,capsule,2686.7,raceme,,
Siphocampylus_westinianus_150             ,1,bright,0.857142857,0.408163265,40,41,30,108,24,32,5,12,6,4,1,3.688879454,6,4,5,0.666666667,-0.817755164,1.602952272,0.4905155,1.25809497,1,bright,yes,horizontal,capsule,862.5,raceme,,
