phylogeny,scientificname,decimallatitude,decimallongitude,Subclade
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.13,-82.96,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.13333,-82.96667,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.26,-82.98,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39,-83.16,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39,-83.16,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.39861,-83.16944,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.4,-83.17778,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.4,-83.17,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.46,-83.31,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.78,-83.12,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,9.78889,-83.125,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,10,-83.8667,Burmeistera
Burmeistera_chirriquiensis_LL132,Burmeistera chiriquiensis Wilbur,10.61,-84.99,Burmeistera
Burmeistera_crebra,Burmeistera crebra McVaugh,9.54167,-83.81667,Burmeistera
Burmeistera_crebra,Burmeistera crebra McVaugh,9.54889,-83.80306,Burmeistera
Burmeistera_crebra,Burmeistera crebra McVaugh,9.55,-83.795,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-3.28333,-79,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-2.90027,-79.00694,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.46667,-80.78333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.46666,-77.45,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.3875,-78.0533,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.28611,-78.835,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.13333,-78.33333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.13333,-77.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.1,-78.28333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.06666,-77.6,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.03333,-80.68333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.03333,-78.23333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-1.03333,-77.93333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.96666,-77.66666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.8278,-77.5636,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.81667,-78.75,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.78333,-78.6,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.66916,-77.59638,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.6667,-80.0833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.6,-77.33333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.41666,-78.96666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,-0.25,-78.8,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0,-77.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.01666,-78.76666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.3,-78.77,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.325,-79.76833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.36666,-78.46666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.71666,-78.88333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.75,-78.45,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.78333,-78.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.78333,-78.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.8,-78.91666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.8,-78.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.81666,-78.43333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.81666,-78.35,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.8294,-78.1175,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.83277,-78.16694,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.83333,-78.46667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.83333,-78.18333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.85,-78.11666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.86666,-78.46666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.88333,-78.48333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.9,-78.45,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.9,-78.45,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.9,-78.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,0.91666,-78.58333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1,-78.58333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.06666,-78.03333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.07888,-78.64972,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.08333,-78.01666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.13333,-78.6,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.13333,-78.55,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.16666,-77.96666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.19444,-78.57361,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.25,-78.67,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.28333,-78.75,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.3,-78.13333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.3,-78.13333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.3,-78.13333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.3,-78.1333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.33333,-78.71666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.5,-78,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.5,-78,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.5,-78,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,1.5,-78,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,2.5,-76.8333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,3.66666,-76.83333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,3.83333,-76.58333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,3.93333,-77.13333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,5.37735,-76.0856,Burmeistera
