name,latitude,longitude,Subclade,L_corollaTube,L_corolla,Bicolored,W_corollaTube_widest,PolSyn_Coarse,Hue,Elevation,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,L_corollaOpening,Peduncle_Log,Vol_ovary,Peduncule,Ratio_MidTop,Fruit,L_stamen,Orientation,Ratio_BotTop,stamenExsertion,PC3,PC1,PC4,PolSyn_Color,Ratio_widest_narrowest,Area_anther,PC2,Inflo
Burmeistera_almedae,9.75,-83.78,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,9.91,-83.39,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10,-84.8333,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.00972,-83.96389,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.06,-83.85,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.08,-84.07,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.12278,-84.12083,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.12666,-84.11138,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.13,-84.1,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.13,-84.1,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.13,-84.09,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.16,-84.11,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_almedae,10.28,-84.68,Burmeistera,14,37,no,7,2,dull,2284.7,3,0.990039132,9.7,3.401197382,180,30,0.433333333,berry,40,horizontal,0.75,21,-3.8852369,-2.304230463,-2.07875038,2,0.714285714,18,-4.18314486,solitary
Burmeistera_bullatifolia,5.5497222,-75.9897222,Burmeistera,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmeistera_ceratocarpa,-0.71667,-77.6,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,-0.58333,-79.36666,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,0.75,-78.0833,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,0.9,-78.1,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.06666,-78.03333,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.06666,-78.03333,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.08333,-78.01666,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.13333,-77.9667,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.13333,-77.96666,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.16666,-77.96666,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
Burmeistera_ceratocarpa,1.23333,-77.96667,Burmeistera,9,25,no,6,2,dull,1758.6,2.5,1,13,3.761200116,144,43,0.58,berry,34,vertical,0.88,23,-1.522772,-3.541747396,-1.129009,2,0.416666667,24,-5.218881783,solitary
