Taxon,agar,beta.agarase.BLAST,alginate.alginic acid,alginate.lyase,amylopectin,carrageenan,carrageenan.lysase.BLAST,cellulose,chitin,chitinase.BLAST,chondroitin.sulfate,chondroitin.sulfatase.BLAST,fucoidan,heparinase.BLAST,laminarin,pectin,pectinase.BLAST,ulvan.polysaccharides,aerobic.microaerophilic,anaerobic,habitat,freshwater,brackish,marine,hypersaline
Chlorobium.limicola.DSM245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chlorobium.phaeobacteroides.BS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chlorobium.phaeobacteroides.DSM266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chlorobium.tepidum.TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chloroherpeton.thalassium.ATCC35110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chryseobacterium.gleum.ATCC35910,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Croceibacter.atlanticus.HTCC2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Cyclobacterium.marinum.DSM745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Cyclobacterium.qasimii.M12.11B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2&3,0,0,1,1
Cytophaga.aurantiaca.DSM3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Cytophaga.hutchinsonii.ATCC33406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Dokdonia.donghaensis.MED134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Dyadobacter.alkalitolerans.DSM23607,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0&1,1,1,0,0
Dyadobacter.beijingensis.DSM21582,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Dyadobacter.fermentans.DSM18053,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
Dysgonomonas.gadei.ATCC.BAA.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Dysgonomonas.mossii.DSM22836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Echinicola.pacifica.DSM19836,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0&1&2&3,1,1,1,1
Echinicola.vietnamensis.DSM17526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0&1&2&3,1,1,1,1
Elizabethkingia.anophelis.R26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
Elizabethkingia.meningoseptica.ATCC13253,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
Emticicia.oligotrophica.DSM17448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Eudoraea.adriatica.DSM19308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Fibrella.aestuarina.BUZ.2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0&1,1,1,0,0
Fibrisoma.limi.BUZ.3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0&1,1,1,0,0
Flectobacillus.major.DSM103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Flexibacter.litoralis.DSM6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Flexithrix.dorotheae.DSM6795,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0
Fluviicola.taffensis.DSM16823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Formosa.agariphila.KMM.3901,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2&3,1,1,1,1
Fulvivirga.imtechensis.AK7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Gaetbulibacter.saemankumensis.DSM17032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2&3,0,1,1,1
Gillisia.limnaea.DSM15749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Gramella.echinicola.DSM19838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2&3,0,1,1,1
Gramella.portivictoriae.DSM23547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Hallella.seregens.ATCC51272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Imtechella.halotolerans.K1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2,1,1,1,0
Indibacter.alkaliphilus.LW1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0&1&2&3,1,1,1,1
Joostella.marina.DSM19592,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2&3,1,1,1,1
Kordia.algicida.OT.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Leeuwenhoekiella.blandensis.MED217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2&3,1,1,1,1
Maribacter.antarcticus.DSM21422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Mariniradius.saccharolyticus.AK6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2,1,1,1,0
Marivirga.tractuosa.DSM4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2&3,0,0,1,1
Mesoflavibacter.zeaxanthinifaciens.DSM18436,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2&3,0,0,1,1
Microscilla.marina.ATCC23134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Mucilaginibacter.paludis.DSM18603,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0&1,1,1,0,0
Muricauda.ruestringensis.DSM13258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2&3,0,1,1,1
Nafulsella.turpanensis.ZLM.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1&2&3,0,1,1,1
Niabella.soli.DSM19437,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0&1,1,1,0,0
Niastella.koreensis.GR20.10,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Nitritalea.halalkaliphila.LW7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1
Olivibacter.sitiensis.DSM17696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0&1,1,1,0,0
Olleya.marilimosa.CAM030,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Ornithobacterium.rhinotracheale.DSM15997,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,?,?,?,?,?
Paludibacter.propionicigenes.WB4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0&1,1,1,0,0
Parabacteroides.distasonis.ATCC8503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Parabacteroides.merdae.ATCC43184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
Paraprevotella.clara.YIT11840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Paraprevotella.xylaniphila.YIT.11841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Pedobacter.agri.PB92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Pedobacter.glucosidilyticus.DSM23534,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0&1&2,1,1,1,0
Pedobacter.heparinus.DSM2366,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0
Pedobacter.oryzae.DSM19973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0&1,1,1,0,0
Pedobacter.saltans.DSM12145,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0
Pelodictyon.luteolum.DSMZ273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Pelodictyon.phaeoclathratiforme.BU.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Polaribacter.irgensii.23.P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0
Pontibacter.actiniarum.DSM19842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2&3,1,1,1,1
Pontibacter.roseus.DSM17521,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,?,?,?,?,?
Porphyromonas.endodontalis.ATCC35406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.amnii.JCM14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.aurantiaca.JCM15754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.baroniae.DSM16972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.bergensis.DSM17361,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Prevotella.copri.DSM18205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Prevotella.dentasini.JCM15908,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.fusca.JCM17724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.histicola.JCM15637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.loescheii.ATCC15930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
Prevotella.maculosa.DSM19339,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Prevotella.marshii.DSM16973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.micans.DSM21469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.nanceiensis.DSM19126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.pallens.ATCC700821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.paludivivens.DSM17968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
Prevotella.ruminicola.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
Prevotella.salivae.DSM15606,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Prevotella.scopos.JCM17725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.shahii.JCM12083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prevotella.timonensis.DSM22865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Prosthecochloris.aestuarii.DSM271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Prosthecochloris.vibrioformis.DSM265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Proteiniphilum.acetatigenes.DSM18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
Psychroflexus.torquis.ATCC700755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0
Psychroflexus.tropicus.DSM15496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
Psychroserpens.burtonensis.DSM12212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Rhodonellum.psychrophilum.DSM17998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Rhodothermus.marinus.DSM4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2,0,1,1,0
Riemerella.anatipestifer.DSM15868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Riemerella.columbina.DSM16469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Rikenella.microfusus.DSM15922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Robiginitalea.biformata.HTCC2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Rudanella.lutea.DSM19387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0&1,1,1,0,0
Runella.limosa.DSM17973,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Runella.slithyformis.DSM19594,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Runella.zeae.DSM19591,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Salinibacter.ruber.DSM13855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1
Salinimicrobium.terrae.DSM17865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1&2,0,1,1,0
Salinimicrobium.xinjiangense.DSM19287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2&3,0,1,1,1
Salisaeta.longa.DSM21114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1
Solitalea.canadensis.DSM3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0&1,1,1,0,0
Sphingobacterium.spiritivorum.ATCC33861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
Spirosoma.linguale.DSM74,0,?,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0&1,1,1,0,0
Spirosoma.luteum.DSM19990,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0&1,1,1,0,0
Spirosoma.panaciterrae.DSM21099,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0&1,1,1,0,0
Spirosoma.spitsbergense.DSM19989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0&1,1,1,0,0
Sporocytophaga.myxococcoides.DSM11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1
Tannerella.forsythensis.ATCC43037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tenacibaculum.maritimum.NBRC15946,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Weeksella.virosa.DSM16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Zobellia.galactanivorans.str.DsiJT,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Zunongwangia.profunda.SM.A87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0
