taxa_name,pectoral_fin,pelvic_fin,pectoral_inferred,pelvic_inferred,pectoral_propagated,pelvic_propagated,paired_fin
Microsynodontis_hirsuta,1,?,2,?,1,0,3
Campellolebias_brucei,1,?,1,?,1,0,3
Monolene_antillarum,1,1,1,1,1,1,3
Barathronus_affinis,1,?,1,?,1,0,3
Solocisquama_stellulata,1,?,2,?,1,0,3
Lycodapus_derjugini,1,?,1,?,1,0,3
Ophichthus_marginatus,?,0,?,0,0,1,2
Alosa_sphaerocephala,1,?,1,?,1,0,3
Phallichthys_amates,1,?,2,?,1,0,3
Phenacobius_crassilabrum,1,1,2,2,0,0,3
Photostomias_guernei,?,1,?,1,0,1,3
Chasmocranus_quadrizonatus,1,?,2,?,1,0,3
Aphyolebias_peruensis,1,?,1,?,1,0,3
Moringua_ferruginea,0,0,0,0,1,1,0
Epactionotus_yasi,1,?,2,?,1,0,3
Oreoglanis_setiger,1,?,2,?,1,0,3
Loricaria_simillima,1,?,2,?,1,0,3
Myrichthys_ocellatus,?,0,?,0,0,1,2
Bovichtus_angustifrons,1,?,2,?,1,0,3
Choeroichthys_latispinosus,?,0,?,0,0,1,2
Astronesthes_zetgibbsi,?,1,?,1,0,1,3
Oryzias_setnai,1,1,2,2,0,0,3
Zebrasoma_rostratum,1,1,1,1,1,1,3
Symphurus_jenynsi,0,0,0,0,1,1,0
Steatogenys_duidae,1,0,1,0,1,1,2
Otocinclus_macrospilus,1,?,2,?,1,0,3
Xenomystax_congroides,?,0,?,0,0,1,2
Tetraodon_hilgendorfii,1,1,1,2,1,1,3
Bertella_idiomorpha,1,0,1,0,1,1,2
Phaenomonas_cooperae,?,0,?,0,0,1,2
Aplocheilichthys_mahagiensis,1,?,2,?,1,0,3
Saurida_normani,1,1,2,2,0,0,3
Glyptothorax_alaknandi,1,?,2,?,1,0,3
Astyanax_clavitaeniatus,1,?,2,?,1,0,3
Aphyolebias_wischmanni,1,?,1,?,1,0,3
Choerodon_paynei,1,?,1,?,1,0,3
Plagopterus_argentissimus,1,1,2,2,0,0,3
Psammphiletria_delicata,1,?,2,?,1,0,3
Ophthalmolycus_amberensis,1,?,1,?,1,0,3
Paraliparis_dipterus,1,0,1,0,1,1,2
Poeciliopsis_pleurospilus,1,?,2,?,1,0,3
Echidna_nebulosa,0,0,0,0,1,1,0
Hippocampus_sindonis,?,0,?,0,0,1,2
Lophotus_machadoi,1,?,1,?,1,0,3
Diploconger_polystigmatus,?,0,?,0,0,1,2
Simpsonichthys_boitonei,1,0,1,0,0,0,2
Rhinodoras_dorbignyi,1,?,2,?,1,0,3
Pangasius_pangasius,1,1,2,2,0,0,3
Valencia_hispanica,1,?,2,?,1,0,3
Amblydoras_affinis,1,?,2,?,1,0,3
Barbourisia_rufa,?,1,?,2,0,1,3
Ecsenius_pulcher,1,?,1,?,1,0,3
Amphilius_lampei,1,?,2,?,1,0,3
Cynoglossus_attenuatus,0,0,0,0,1,1,0
Umbra_limi,1,1,2,1,0,0,3
Pareuchiloglanis_anteanalis,1,?,2,?,1,0,3
Pterygotrigla_soela,1,?,1,?,1,0,3
Aphyosemion_lugens,1,?,2,?,1,0,3
Symphodus_tinca,1,1,2,2,1,1,3
Ompok_urbaini,1,?,1,?,1,0,3
Halidesmus_coccus,1,?,1,?,1,0,3
Ompok_brevirictus,1,?,1,?,1,0,3
Coloconger_japonicus,1,0,1,0,1,1,2
Halichoeres_malpelo,1,?,1,?,1,0,3
Bovichtus_diacanthus,1,?,2,?,1,0,3
Synodus_gibbsi,?,1,?,2,0,1,3
Neoceratias_spinifer,1,0,1,0,0,0,2
Gymnothorax_megaspilus,0,0,0,0,1,1,0
Cottus_reinii,1,?,1,?,1,0,3
Careproctus_hyaleius,1,?,1,?,1,0,3
Amblyceps_laticeps,1,?,2,?,0,0,3
Lestidiops_jayakari,1,1,2,2,1,1,3
Eubalichthys_cyanoura,1,0,1,0,1,1,2
Trachinus_araneus,1,?,2,?,1,0,3
Hemisilurus_moolenburghi,1,?,1,?,1,0,3
Hisonotus_chromodontus,1,?,2,?,1,0,3
Sargocentron_macrosquamis,?,1,?,2,0,1,3
Yirrkala_fusca,?,0,?,0,0,1,2
Trichomycterus_reinhardti,1,?,2,?,0,0,3
